timestamp,cpu,memory,response_time
21:22:52,13.6,1095.61,0
21:22:57,13.01,1117.99,0
21:23:02,13.58,1163.68,0
21:23:07,13.17,1104.2,0
21:23:12,13.57,1074.12,0
21:23:17,13.08,1081.58,0
21:23:22,13.79,1088.9,0
21:23:28,13.12,1094.34,0
21:23:33,13.7,1098.69,0
21:23:38,13.58,1108.84,0
21:23:43,13.4,1089.39,0
21:23:48,12.89,1090.72,0
21:23:53,13.28,1094.81,0
21:23:58,12.91,1116.08,0
21:24:03,13.56,1169.46,0
21:24:08,13.21,1151.96,0
21:24:13,13.82,1068.86,0
21:24:18,12.94,1087.58,0
21:24:23,13.54,1095.39,0
21:24:28,12.61,1101.21,0
21:24:33,12.99,1108.4,0
21:24:35,12.77,1108.4,0
21:24:38,12.93,1085.5,0
21:24:40,12.75,1085.5,0
21:24:43,13.12,1099.25,0
21:24:45,12.84,1099.25,0
21:24:48,12.78,1109.26,0
21:24:50,12.75,1109.26,0
21:24:53,13.6,1089.8,0
21:24:55,12.61,1089.8,0
21:24:58,12.87,1098.82,0
21:25:00,13.07,1098.82,0
21:25:03,13.73,1160.05,0
21:25:05,12.83,1160.05,0
21:25:08,13.18,1131.0,0
21:25:10,12.94,1131.0,0
21:25:13,13.8,1128.11,0
21:25:15,13.45,1128.11,0
21:25:18,13.32,1141.77,0
21:25:20,12.92,1141.77,0
21:25:23,14.25,1131.02,0
21:25:25,13.93,1131.02,0
21:25:28,13.84,1144.95,0
21:25:30,13.79,1144.95,0
21:25:33,14.73,1087.93,0
21:25:35,14.31,1087.93,0
21:25:38,14.6,1092.9,0
21:25:40,14.21,1092.9,0
21:25:43,15.34,1092.4,0
21:25:45,14.84,1092.4,0
21:25:48,14.79,1109.7,0
21:25:50,14.97,1109.7,0
21:25:53,15.54,1113.71,0
21:25:55,14.59,1113.71,0
21:25:58,14.62,1122.3,0
21:26:00,14.15,1122.3,0
21:26:03,15.36,1168.45,0
21:26:05,14.77,1168.45,0
21:26:08,14.93,1090.37,0
21:26:10,14.68,1090.37,0
21:26:13,15.31,1087.82,0
21:26:15,14.68,1087.82,0
21:26:18,14.58,1088.82,0
21:26:20,14.87,1088.82,0
21:26:23,15.34,1107.8,0
21:26:25,14.04,1107.8,0
21:26:28,14.37,1083.66,0
21:26:30,13.77,1083.66,0
21:26:33,15.0,1079.33,0
21:26:35,14.27,1079.33,0
21:26:38,14.72,1092.23,0
21:26:40,14.34,1092.23,0
21:26:43,14.76,1094.14,0
21:26:45,13.77,1094.14,0
21:26:48,14.06,1079.52,0
21:26:50,14.31,1079.52,0
21:26:53,15.0,1078.55,0
21:26:55,13.97,1078.55,0
21:26:58,14.41,1096.07,0
21:27:00,14.21,1096.07,0
21:27:03,15.24,1146.58,0
21:27:05,14.59,1146.58,0
21:27:08,14.93,1105.49,0
21:27:10,14.46,1111.98,0
21:27:13,15.21,1111.98,0
21:27:16,14.22,1111.98,0
21:27:18,14.46,1095.67,0
21:27:21,15.38,1093.52,0
21:27:23,15.38,1093.52,0
21:27:26,14.52,1093.38,0
21:27:28,14.52,1093.38,0
21:27:31,15.18,1112.38,0
21:27:33,15.18,1112.38,0
21:27:36,14.32,1112.38,0
21:27:38,15.03,1094.03,0
21:27:41,17.35,1117.6,0
21:27:43,17.35,1117.6,0
21:27:46,17.05,1106.43,0
21:27:48,17.05,1106.43,0
21:27:51,17.58,1079.93,0
21:27:53,17.58,1079.93,0
21:27:56,17.17,1097.59,0
21:28:04,18.02,1151.4,0
21:28:09,17.52,1122.82,0
21:28:14,18.12,1112.32,0
21:28:14,18.12,1112.32,0
21:28:19,17.43,1091.44,0
21:28:24,17.84,1099.57,0
21:28:24,17.84,1099.57,0
21:28:29,16.69,1095.78,0
21:28:29,16.69,1095.78,0
21:28:34,17.47,1104.93,0
21:28:39,14.79,1065.33,0
21:28:39,14.79,1065.33,0
21:28:44,14.35,1036.47,0
21:28:49,14.33,1054.7,0
21:28:54,15.07,1072.64,0
21:28:59,14.49,1123.77,0
21:29:04,15.49,1155.35,0
21:29:09,14.89,1134.63,0
21:29:14,15.16,1120.91,0
21:29:14,15.16,1120.91,0
21:29:19,14.69,1138.6,0
21:29:19,14.69,1138.6,0
21:29:24,15.32,1124.02,0
21:29:29,15.65,1145.19,0
21:29:34,15.9,1145.31,0
21:29:34,15.9,1145.31,0
21:29:39,16.14,1120.77,0
21:29:44,16.91,1129.61,0
21:29:44,16.91,1129.61,0
21:29:49,15.54,1107.01,0
21:29:54,15.79,1119.56,0
21:29:54,15.79,1119.56,0
21:29:59,16.12,1158.55,0
21:30:04,16.97,1188.76,0
21:30:09,16.0,1210.96,0
21:30:09,16.01,1210.96,0
21:30:14,17.02,1151.96,0
21:30:19,17.84,1212.91,0
21:30:19,17.84,1212.91,0
21:30:24,17.09,1200.43,0
21:30:24,17.09,1200.43,0
21:30:29,16.74,1181.55,0
21:30:29,16.74,1181.55,0
21:30:34,16.7,1187.39,0
21:30:39,16.49,1191.48,0
21:30:39,16.49,1191.48,0
21:30:44,15.94,1184.32,0
21:30:44,15.94,1184.32,0
21:30:50,15.65,1186.74,0
21:30:55,15.04,1198.5,0
21:31:00,14.62,1180.1,0
21:31:00,14.62,1180.1,0
21:31:05,15.02,1232.31,0
21:31:10,13.96,1088.89,0
21:31:10,13.96,1088.89,0
21:31:15,13.8,1063.09,0
21:31:15,13.8,1063.09,0
21:31:20,13.4,1068.29,0
21:31:25,12.77,1084.21,0
21:31:30,13.01,1108.93,0
21:31:35,13.53,1109.27,0
21:31:35,13.53,1109.27,0
21:31:40,13.08,1115.63,0
21:31:40,13.08,1115.63,0
21:31:44,13.33,1125.81,0
21:31:45,13.33,1125.81,0
21:31:45,13.33,1125.81,0
